,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
1,4583,1508.0,128.0,360.0,1.0,1,1,1,0,0,0,0,0,0,0
2,3000,0.0,66.0,360.0,1.0,1,1,0,0,0,0,1,0,1,1
3,2583,2358.0,120.0,360.0,1.0,1,1,0,0,0,1,0,0,1,1
4,6000,0.0,141.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
5,5417,4196.0,267.0,360.0,1.0,1,1,0,1,0,0,1,0,1,1
6,2333,1516.0,95.0,360.0,1.0,1,1,0,0,0,1,0,0,1,1
7,3036,2504.0,158.0,360.0,0.0,1,1,0,0,1,0,0,1,0,0
8,4006,1526.0,168.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
9,12841,10968.0,349.0,360.0,1.0,1,1,1,0,0,0,0,1,0,0
10,3200,700.0,70.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
12,3073,8106.0,200.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
13,1853,2840.0,114.0,360.0,1.0,1,0,0,0,0,0,0,0,0,0
14,1299,1086.0,17.0,120.0,1.0,1,1,0,1,0,0,0,0,1,1
15,4950,0.0,125.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
17,3510,0.0,76.0,360.0,0.0,0,0,0,0,0,0,0,0,1,0
18,4887,0.0,133.0,360.0,1.0,1,1,0,0,0,1,0,0,0,0
20,7660,0.0,104.0,360.0,0.0,1,1,0,0,0,1,0,0,1,0
21,5955,5625.0,315.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
22,2600,1911.0,116.0,360.0,0.0,1,1,0,0,0,1,0,1,0,0
25,9560,0.0,191.0,360.0,1.0,1,1,0,0,0,0,1,1,0,1
26,2799,2253.0,122.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
27,4226,1040.0,110.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
28,1442,0.0,35.0,360.0,1.0,1,0,0,0,0,1,0,0,1,0
31,3167,0.0,74.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
32,4692,0.0,106.0,360.0,1.0,1,0,1,0,0,0,1,0,0,0
33,3500,1667.0,114.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
34,12500,3000.0,320.0,360.0,1.0,1,0,0,0,1,0,0,0,0,0
37,3667,1459.0,144.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
38,4166,7210.0,184.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
39,3748,1668.0,110.0,360.0,1.0,1,0,0,0,0,1,0,1,0,1
40,3600,0.0,80.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
41,1800,1213.0,47.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
43,3941,2336.0,134.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
46,5649,0.0,44.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
47,5821,0.0,144.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
48,2645,3440.0,120.0,360.0,0.0,0,1,0,0,0,0,0,0,1,0
49,4000,2275.0,144.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
50,1928,1644.0,100.0,360.0,1.0,0,1,0,0,0,1,0,1,0,1
51,3086,0.0,120.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
52,4230,0.0,112.0,360.0,1.0,0,0,0,0,0,0,0,1,0,0
53,4616,0.0,134.0,360.0,1.0,1,1,0,1,0,0,0,0,1,0
54,11500,0.0,286.0,360.0,0.0,0,1,1,0,0,0,1,0,1,0
55,2708,1167.0,97.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
56,2132,1591.0,96.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
57,3366,2200.0,135.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
58,8080,2250.0,180.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
59,3357,2859.0,144.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
60,2500,3796.0,120.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
61,3029,0.0,99.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
62,2609,3449.0,165.0,180.0,0.0,1,1,0,0,0,1,1,0,0,0
64,4166,0.0,116.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
65,5726,4595.0,258.0,360.0,1.0,1,1,0,0,0,0,0,1,0,0
66,3200,2254.0,126.0,180.0,0.0,1,0,0,0,0,1,0,0,1,0
67,10750,0.0,312.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
68,7100,0.0,125.0,60.0,1.0,1,1,0,0,1,1,1,0,1,1
69,4300,0.0,136.0,360.0,0.0,0,0,0,0,0,0,0,1,0,0
70,3208,3066.0,172.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
71,1875,1875.0,97.0,360.0,1.0,1,1,0,1,0,1,1,1,0,1
72,3500,0.0,81.0,300.0,1.0,1,0,0,0,0,0,0,1,0,1
74,5266,1774.0,187.0,360.0,1.0,1,1,0,0,1,0,1,1,0,1
75,3750,0.0,113.0,480.0,1.0,1,0,0,0,0,0,0,0,1,0
76,3750,4750.0,176.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
77,1000,3022.0,110.0,360.0,1.0,1,1,1,0,0,0,1,0,1,0
78,3167,4000.0,180.0,300.0,0.0,1,1,0,0,1,0,0,1,0,0
80,3846,0.0,111.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
82,1378,1881.0,167.0,360.0,1.0,0,1,0,1,0,0,0,0,1,0
84,3988,0.0,50.0,240.0,1.0,1,1,1,0,0,0,0,0,1,1
85,2366,2531.0,136.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
87,2500,2118.0,104.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
88,8566,0.0,210.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
89,5695,4167.0,175.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
90,2958,2900.0,131.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
91,6250,5654.0,188.0,180.0,1.0,1,1,0,1,0,0,0,1,0,1
92,3273,1820.0,81.0,360.0,1.0,1,1,0,1,0,1,0,0,1,1
93,4133,0.0,122.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
94,3620,0.0,25.0,120.0,1.0,1,0,0,0,0,1,0,1,0,1
96,2484,2302.0,137.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
97,1977,997.0,50.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
98,4188,0.0,115.0,180.0,1.0,1,1,0,0,0,1,0,1,0,1
99,1759,3541.0,131.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
100,4288,3263.0,133.0,180.0,1.0,1,1,0,1,0,1,0,0,1,1
101,4843,3806.0,151.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
105,3052,1030.0,100.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
106,11417,1126.0,225.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
108,3800,3600.0,216.0,360.0,0.0,1,1,0,1,0,0,0,0,1,0
109,2071,754.0,94.0,480.0,1.0,1,1,0,0,1,1,0,1,0,1
110,5316,0.0,136.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
115,14583,0.0,185.0,180.0,1.0,1,1,1,0,0,0,0,0,0,1
116,3167,2283.0,154.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
118,5568,2142.0,175.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
119,10408,0.0,259.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
121,4166,0.0,44.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
122,2137,8980.0,137.0,360.0,0.0,0,0,0,0,0,0,0,1,0,1
123,2957,0.0,81.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
124,4300,2014.0,194.0,360.0,1.0,1,1,0,0,0,1,0,0,0,1
128,10513,3850.0,160.0,180.0,0.0,1,1,1,0,0,0,1,0,1,0
131,2014,1929.0,74.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
132,2718,0.0,70.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
133,3459,0.0,25.0,120.0,1.0,1,1,0,0,0,0,1,1,0,1
134,4895,0.0,102.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
135,4000,7750.0,290.0,360.0,1.0,1,1,0,0,1,0,0,1,0,0
136,4583,0.0,84.0,360.0,1.0,0,1,0,0,0,0,0,0,0,0
137,3316,3500.0,88.0,360.0,1.0,1,1,0,1,0,0,1,0,1,1
138,14999,0.0,242.0,360.0,0.0,1,0,0,0,0,0,0,1,0,0
139,4200,1430.0,129.0,360.0,1.0,1,1,0,1,0,1,0,0,0,0
140,5042,2083.0,185.0,360.0,1.0,1,1,0,1,0,0,0,0,0,0
141,5417,0.0,168.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
142,6950,0.0,175.0,180.0,1.0,1,0,0,0,0,0,1,1,0,1
143,2698,2034.0,122.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
144,11757,0.0,187.0,180.0,1.0,1,1,0,1,0,0,0,0,1,1
145,2330,4486.0,100.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
146,14866,0.0,70.0,360.0,1.0,0,1,0,1,0,0,0,0,1,1
147,1538,1425.0,30.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
148,10000,1666.0,225.0,360.0,1.0,0,0,0,0,0,0,0,0,0,0
149,4860,830.0,125.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
150,6277,0.0,118.0,360.0,0.0,1,0,0,0,0,0,0,0,0,0
151,2577,3750.0,152.0,360.0,1.0,1,1,0,0,0,0,1,0,0,1
152,9166,0.0,244.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
153,2281,0.0,113.0,360.0,1.0,1,1,0,1,0,1,0,0,0,0
154,3254,0.0,50.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
155,39999,0.0,600.0,180.0,0.0,1,1,0,0,1,0,0,1,0,1
157,9538,0.0,187.0,360.0,1.0,1,1,1,0,0,0,0,0,1,1
159,4583,5625.0,255.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
160,1863,1041.0,98.0,360.0,1.0,1,1,0,0,0,1,0,1,0,1
161,7933,0.0,275.0,360.0,1.0,1,1,0,0,0,0,0,0,1,0
162,3089,1280.0,121.0,360.0,0.0,1,1,1,0,0,0,0,1,0,0
163,4167,1447.0,158.0,360.0,1.0,1,1,0,1,0,0,0,0,0,1
164,9323,0.0,75.0,180.0,1.0,1,1,0,0,0,0,0,0,1,1
166,4583,0.0,112.0,360.0,1.0,0,1,0,0,0,0,0,0,0,0
167,2439,3333.0,129.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
168,2237,0.0,63.0,480.0,0.0,1,0,0,0,0,0,0,1,0,0
169,8000,0.0,200.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
172,3522,0.0,81.0,180.0,1.0,1,1,0,0,1,1,0,0,0,0
173,5708,5625.0,187.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
174,4344,736.0,87.0,360.0,1.0,1,1,0,0,0,1,1,1,0,0
175,3497,1964.0,116.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
176,2045,1619.0,101.0,360.0,1.0,1,1,0,1,0,0,0,0,0,1
177,5516,11300.0,495.0,360.0,0.0,1,1,0,0,1,0,0,1,0,0
178,3750,0.0,116.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
179,2333,1451.0,102.0,480.0,0.0,1,0,0,0,0,1,0,0,1,0
180,6400,7250.0,180.0,360.0,0.0,1,1,1,0,0,0,0,0,1,0
182,4600,0.0,73.0,180.0,1.0,1,1,0,0,0,0,0,1,0,1
183,33846,0.0,260.0,360.0,1.0,1,1,1,0,0,0,0,1,0,0
184,3625,0.0,108.0,360.0,1.0,0,1,0,0,0,0,0,1,0,1
185,39147,4750.0,120.0,360.0,1.0,1,1,0,0,0,0,1,1,0,1
186,2178,0.0,66.0,300.0,0.0,1,1,1,0,0,0,1,0,0,0
189,9328,0.0,188.0,180.0,1.0,1,1,0,0,0,0,0,0,0,1
190,4885,0.0,48.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
191,12000,0.0,164.0,360.0,1.0,1,0,0,0,0,0,0,1,0,0
192,6033,0.0,160.0,360.0,1.0,1,1,0,0,0,1,0,0,1,0
193,3858,0.0,76.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
194,4191,0.0,120.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
195,3125,2583.0,170.0,360.0,1.0,1,1,1,0,0,0,0,1,0,0
196,8333,3750.0,187.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
199,11000,0.0,83.0,360.0,1.0,1,0,0,0,0,0,1,0,1,0
200,2600,2500.0,90.0,360.0,1.0,1,1,1,0,0,1,0,1,0,1
201,4923,0.0,166.0,360.0,0.0,1,0,0,1,0,0,0,1,0,1
203,3500,1083.0,135.0,360.0,1.0,1,1,1,0,0,1,0,0,1,1
204,3917,0.0,124.0,360.0,1.0,1,1,0,1,0,1,0,1,0,1
205,4408,0.0,120.0,360.0,1.0,0,0,0,0,0,1,0,1,0,1
206,3244,0.0,80.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
207,3975,2531.0,55.0,360.0,1.0,1,0,0,0,0,1,0,0,0,1
208,2479,0.0,59.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
209,3418,0.0,127.0,360.0,1.0,1,0,0,0,0,0,0,1,0,0
210,10000,0.0,214.0,360.0,1.0,0,0,0,0,0,0,0,1,0,0
211,3430,1250.0,128.0,360.0,0.0,1,1,0,0,1,0,0,1,0,0
212,7787,0.0,240.0,360.0,1.0,1,1,1,0,0,0,1,0,1,1
213,5703,0.0,130.0,360.0,1.0,1,1,0,0,1,1,1,0,0,1
214,3173,3021.0,137.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
215,3850,983.0,100.0,360.0,1.0,1,1,0,0,1,1,0,1,0,1
216,150,1800.0,135.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
217,3727,1775.0,131.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
220,2221,0.0,60.0,360.0,0.0,1,1,0,0,0,0,0,0,1,0
221,4009,1717.0,116.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
222,2971,2791.0,144.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
224,6250,0.0,128.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
225,3250,0.0,170.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
227,6250,1695.0,210.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
229,6400,0.0,200.0,360.0,1.0,1,0,0,0,0,0,1,0,0,1
230,2491,2054.0,104.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
233,8333,0.0,280.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
234,3155,1779.0,140.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
235,5500,1260.0,170.0,360.0,1.0,1,1,1,0,0,0,0,0,0,1
238,3812,0.0,112.0,360.0,1.0,0,0,1,0,0,0,0,0,0,1
239,3315,0.0,96.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
240,5819,5000.0,120.0,360.0,1.0,1,1,0,1,0,0,0,0,0,1
241,2510,1983.0,140.0,180.0,1.0,1,1,1,0,0,1,0,0,1,0
242,2965,5701.0,155.0,60.0,1.0,1,0,0,0,0,0,0,0,1,1
243,6250,1300.0,108.0,360.0,1.0,1,1,0,1,0,0,1,0,0,1
244,3406,4417.0,123.0,360.0,1.0,1,1,0,0,0,1,0,1,0,1
245,6050,4333.0,120.0,180.0,1.0,1,0,0,0,0,0,1,0,1,0
246,9703,0.0,112.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
247,6608,0.0,137.0,180.0,1.0,1,1,1,0,0,1,0,0,1,1
248,2882,1843.0,123.0,480.0,1.0,1,1,1,0,0,0,0,1,0,1
249,1809,1868.0,90.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
250,1668,3890.0,201.0,360.0,0.0,1,1,0,0,0,1,0,1,0,0
251,3427,0.0,138.0,360.0,1.0,0,0,0,1,0,0,0,0,1,0
252,2583,2167.0,104.0,360.0,1.0,1,0,0,0,0,1,1,0,0,1
253,2661,7101.0,279.0,180.0,1.0,1,1,1,0,0,1,0,1,0,1
254,16250,0.0,192.0,360.0,0.0,1,0,0,0,0,0,1,0,1,0
255,3083,0.0,255.0,360.0,1.0,0,0,0,0,1,0,0,0,0,1
256,6045,0.0,115.0,360.0,0.0,1,0,0,0,0,1,0,0,0,0
257,5250,0.0,94.0,360.0,1.0,1,1,0,0,1,0,0,0,1,0
258,14683,2100.0,304.0,360.0,1.0,1,1,0,0,0,0,0,0,0,0
261,2060,2209.0,134.0,360.0,1.0,1,0,0,0,0,0,0,1,0,1
262,3481,0.0,155.0,36.0,1.0,0,0,1,0,0,0,0,1,0,0
263,7200,0.0,120.0,360.0,1.0,0,0,0,0,0,0,0,0,0,1
264,5166,0.0,128.0,360.0,1.0,1,0,0,0,0,0,1,1,0,1
265,4095,3447.0,151.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
266,4708,1387.0,150.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
267,4333,1811.0,160.0,360.0,0.0,1,1,0,0,1,0,0,0,1,1
269,2876,1560.0,90.0,360.0,1.0,0,0,1,0,0,0,0,0,1,1
270,3237,0.0,30.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
271,11146,0.0,136.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
272,2833,1857.0,126.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
273,2620,2223.0,150.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
274,3900,0.0,90.0,360.0,1.0,1,1,0,1,0,0,0,1,0,1
275,2750,1842.0,115.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
276,3993,3274.0,207.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
277,3103,1300.0,80.0,360.0,1.0,1,1,0,0,0,0,0,0,1,1
278,14583,0.0,436.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
280,4053,2426.0,158.0,360.0,0.0,1,0,1,0,0,1,1,0,1,0
281,3927,800.0,112.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
282,2301,985.7999878,78.0,180.0,1.0,1,1,0,1,0,0,0,0,1,1
283,1811,1666.0,54.0,360.0,1.0,0,0,0,0,0,0,0,0,1,1
285,3158,3053.0,89.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
286,2600,1717.0,99.0,300.0,1.0,0,0,0,0,0,0,1,1,0,0
287,3704,2000.0,120.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
288,4124,0.0,115.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
289,9508,0.0,187.0,360.0,1.0,1,0,0,0,0,0,0,0,0,1
290,3075,2416.0,139.0,360.0,1.0,1,1,0,0,0,0,0,0,0,1
291,4400,0.0,127.0,360.0,0.0,1,1,0,1,0,0,0,1,0,0
292,3153,1560.0,134.0,360.0,1.0,1,1,0,1,0,0,0,0,1,1
294,2383,3334.0,172.0,360.0,1.0,1,1,0,0,0,0,0,1,0,1
296,6875,0.0,200.0,360.0,1.0,1,1,1,0,0,0,0,1,0,1
297,4666,0.0,135.0,360.0,1.0,0,1,1,0,0,0,0,0,1,1
298,5000,2541.0,151.0,480.0,1.0,0,0,0,0,0,0,0,0,0,0
299,2014,2925.0,113.0,360.0,1.0,1,1,1,0,0,0,0,0,1,0
